2024-11-03 17:19:26,443 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:27,028 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/research, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:27,588 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/contact-the-department, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:28,180 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/faculty, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:28,952 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/faculty-directory/wesley-johnson, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:29,509 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/~wjohnson, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:30,058 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~wjohnson/BIDA/BIDABook.html, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:30,811 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~wjohnson/BIDA/Ch11/ArmadilloHuntingRepeatedMeasuresData.txt, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:31,321 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~wjohnson/BIDA/DiagnosticTestsPart2/CodeandDataMedicalTestsPart2.txt, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:31,842 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~wjohnson/BIDA/Ch9/FEVWBModel1.txt, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:32,352 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~wjohnson/BIDA/Ch9/Model5.txt, status <200>, using cache ('styx.ics.uci.edu', 9003).
2024-11-03 17:19:32,862 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/~wjohnson/BIDA/AppendixC/FEVdata.txt, status <200>, using cache ('styx.ics.uci.edu', 9003).
